질병명,주요증상
"혈관육종, 비장과 간 (Hemangiosarcoma, spleen and liver)","| 1도 방실 심 차단 | 2도 방실 심 차단 | 3도 방실 심 완전차단 | 각차단 , 좌각차단 , 우각차단 , 양각차단 | 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 걷다 앞으로 넘어짐 , 목적없이 배회 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 기침시 객혈 | 눈 내부 종괴 종창 | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 , 발가락 종창 , 종괴 | 뒷발 통증 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 머리 기울기 | 머리 박치기 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 방향 감각 상실 , 기억 상실 | 배뇨곤란 | 복강 외부 압박에 따른 통증 | 복강 외부 종창 , 종괴 | 복강내부 종괴 , 종창 , 유착 | 복부팽만 | 복수 | 부정맥 , 불규칙한 심박 및 맥박 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적인 자세 | 심방 빈맥 , 빈박 | 선회운동 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 심방 | 심방 빈맥 , 빈박 , 빈박 | 심방 세동 | 심방 조기 박동 | 심실 기외 수축 , 다발성 혹은 단발성 | 심방 빈맥 , 빈박 | 심실 세동 , 조동 | 심음의 감소 | 심잡음 | 심전도 전압 감소 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 약맥 , 소맥 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 음경 , 포피 , 고환 , 음낭의 종대 , 종괴 | 재채기 | 적색뇨 , 갈색뇨 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 점막 , 피부 창백 , 빈혈 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 출혈 , 응고부전 | 탈수 | 편측 부전마비 | 폐포음 감소 , 호흡음이 없음 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부 통증 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 혈뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미 | 황달 | 흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴"
세균성 뇌막염/뇌막염/뇌막척수염(Bacterial Meningitis/Meningoencephalitis/Meningomyelitis),"| 각막의 부종 , 혼탁 | 갈증이 줄어듬 , 갈증이 없음 | 강직성 경련 , 테타니 | 거리감각불능 , 거리감각 과대 및 과소 | 걷다 앞으로 넘어짐 , 목적없이 배회 | 결막 , 공막의 발적 | 결막 , 공막의 충혈 , 혈관의 이상 | 과도한 침흘림 , 유연 , 입에 거품 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 눈의 통증 , 안통 | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 동공부동 | 뒷다리 경련 , 근경련 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 떨림 , 전율 , 오한 | 머리 기울기 | 머리 박치기 | 머리 , 얼굴 , 목 , 혀 지각감퇴 , 무감각증 | 목 , 경부 , 목구멍 통증 | 목소리 변성 | 목의 경직 , 뻣뻣한 목 | 무기력 , 침울 , 졸림 , 생기없음 | 무유증 , 유즙생산감소 , 정지 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 비정상적인 자세 | 심방 빈맥 , 빈박 | 사시 , 사팔뜨기 | 사지마비 , 무기력 | 산동 , 확장된 동공 | 선회운동 | 소리 계속 지르기 , 소리가 커짐 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안검연축 , 경련 | 안구돌출 | 안구진탕 , 안구불수의적운동 | 앞다리 경련 , 간대성 근경련 | 연하곤란 , 연하장애 | 요실금 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 이동거부 | 이빨을 감 , 이갈이 | 저체온증 , 낮은체온 | 전방축농 , 안구전방에 지질이나 섬유소 축적 | 전신허약 , 부전마비 , 마비 | 제3안검 탈출 , 순막의 돌출 | 지각과민 , 예민함 , 과다운동 | 진전 | 체중감소 | 축동 , 동공축소 | 탈수 | 혼수 , 혼미 | 후궁반장 | 흥분 , 헛소리 , 광분"
수두증(Hydrocephalus)," | 갈증이 줄어듬 , 갈증이 없음 | 거리감각불능 , 거리감각 과대 및 과소 | 거친 피모 , 곤두선 털 | 과도한 침흘림 , 유연 , 입에 거품 | 구역질 | 구토 | 기립불능 , 다우너 | 난산 | 난청 , 귀머거리 | 동공부동 | 떨림 , 전율 , 오한 | 머리 기울기 | 머리 박치기 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 목 , 경부 , 목구멍 통증 | 목의 경직 , 뻣뻣한 목 | 무기력 , 침울 , 졸림 , 생기없음 | 발육정지 , 체중증가없음 , 성장지연 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 비도 비강내 섭취물 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 비정상적인 자세 | 빛에 대한 동공의 비정상 반응 | 사시 , 사팔뜨기 | 산동 , 확장된 동공 | 선회운동 | 소리 계속 지르기 , 소리가 커짐 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안구진탕 , 안구불수의적운동 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 전신허약 , 부전마비 , 마비 | 진전 | 후궁반장 "
수신증(Hydronephrosis)," | 다뇨증 | 다음 , 많이 마심 , 지나친 갈증 | 단백뇨 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 복강내부 종괴 , 종창 , 유착 | 복부팽만 | 빈뇨 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 신장 종대 촉진 | 신장 촉진시 작음 | 요통 , 허리 통증 , 허리 통증 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 탈수 | 혈뇨 "
수정체이탈(Lens luxation)," | 각막의 부종 , 혼탁 | 동공부동 | 망막 박리 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 수정체 이탈 , 변위 "
,
확장성 심근병증(Dilated cardiomyopathy),"| 1도 방실 심 차단 | 3도 방실 심 완전차단 | 각차단 , 좌각차단 , 우각차단 , 양각차단 | 간 , 비장 종대 , 비장종대 , 간종대 | 경정맥 박동 | 구토 | 급사 , 돌연사 | 기침 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 말초정맥확장 , 경정맥확장 | 무기력 , 침울 , 졸림 , 생기없음 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 복부팽만 | 복수 | 부정맥 , 불규칙한 심박 및 맥박 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 심방 빈맥 , 빈박 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 수축기 클릭 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단| 심방 조기 박동 | 심방 빈맥 , 빈박 | 심잡음 | 운동기피 , 쉽게 지침  | 전신허약 , 부전마비 , 마비 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 폐포음 감소 , 호흡음이 없음 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡"
,
,
"심장사상충증 (Heartworm disease : HWD, dirofilariasis)"," | 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 거친 피모 , 곤두선 털 | 경정맥 박동 | 과도한 침흘림 , 유연 , 입에 거품 | 구역질 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 기침 | 기침시 객혈 | 눈의 외부 또는 내부 기생충 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 단백뇨 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 지각감퇴 , 뒷다리 무감각증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 , 발가락 종창 , 종괴 | 말초정맥확장 , 경정맥확장 | 머리 기울기 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 목 부위 종창 , 경부의 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 복강 외부 압박에 따른 통증 | 복강 외부 종창 , 종괴 | 복강내부 종괴 , 종창 , 유착 | 복수 | 분마율동 , 분마성 리듬 , 분마성 리듬 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 비정상적인 자세 | 심방 빈맥 , 빈박 | 산동 , 확장된 동공 | 선회운동 | 설사 , 하리 | 소양감 , 가려움 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 심방 빈맥 , 빈박 | 심음의 감소 | 심잡음 | 앞다리 반사 이상(증가나 감소) | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 약맥 , 소맥 | 요통 , 허리 통증 , 허리 통증 | 운동기피 , 쉽게 지침 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 적색뇨 , 갈색뇨 | 전신파행 , 경직 , 절름발이 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 점막 , 피부 창백 , 빈혈 | 청색증 , 피부나 점막이 푸름 | 체중감소 | 출혈 , 응고부전 | 탈모 , 무모증 | 탈수 | 피부 괴사 , 가피 , 괴저 | 피부 구진 | 피부 , 귀 , 다리 냉감 | 피부 누관 , 공동형성 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부 , 털의 건조 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 혈뇨 | 혈색소뇨 , 근색소뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미 | 황달 | 흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴"
"얼리키아증, 개 (Canine ehrlichiosis)","| 기립불능 , 다우너  | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 목 , 경부 , 목구멍 통증 | 목의 경직 , 뻣뻣한 목 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열  비출혈 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 이동거부 | 전신파행 , 경직 , 절름발이 | 점상 또는 반상출혈 , 타박상 | 체중감소 | 출혈 , 응고부전 "
,
유선종양(Mammary gland tumor)," | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 복강 외부 종창 , 종괴 | 소양감 , 가려움 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 유방염 유선 , 유방 통증 | 유선의 종대 , 종괴 , 유방비대 , 여성형 유방 | 체중감소 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부 통증 | 피부홍반 , 염증 , 발적 "
"제3안검샘 탈출(Prolapsed gland of the third eyelid, cherry eye)","| 각막의 궤양 , 미란 | 각막의 부종 , 혼탁 | 각막혈관신생 , 판누스 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 눈부심 , 수명 | 눈의 통증 , 안통 | 눈의 화농성 분비물 | 순막샘의 종대 | 실명 , 시력상실 | 안검연축 , 경련 | 제3안검 탈출 , 순막의 돌출 | 축동 , 동공축소"
콕시듐증(Coccidiosis)," | 거친 피모 , 곤두선 털 | 구토 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발육정지 , 체중증가없음 , 성장지연 | 복강 외부 압박에 따른 통증 | 심방 빈맥 , 빈박 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 이급후증 , 배변곤란 | 전신허약 , 부전마비 , 마비 | 점액변 , 점액양분변 | 점막 , 피부 창백 , 빈혈 | 체중감소 | 탈수 | 혈변 | 혈변 , 분변내 잠혈 "
,
"탈모, 고양이(Alopecia)","| 탈모 , 무모증"
판코니 증후군(Fanconi syndrome),"| 구토 | 다뇨증 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 단백뇨 | 당뇨 | 무기력 , 침울 , 졸림 , 생기없음 | 발육정지 , 체중증가없음 , 성장지연 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 요실금 | 체중감소 | 케톤뇨 | 탈수 | 피부 , 털의 건조 "
"편평세포 암 -발가락(Squamous cell carcinoma, digit)"," | 각막혈관신생 , 판누스 | 구강 , 혀의 종창 , 종괴 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막출혈 | 망막혈관 크기 이상 | 머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 , 부전마비 , 마비 | 무기력 , 침울 , 졸림 , 생기없음 | 배뇨곤란 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안구진탕 , 안구불수의적운동 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 앞발 , 발가락 종창 , 종괴 | 연하곤란 , 연하장애 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 이동거부 | 전신파행 , 경직 , 절름발이 | 체중감소 | 탈모 , 무모증 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 통증 | 피부색소침착감소 , 백반증 , 백피증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 항문직장부위 종창 , 종괴 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 "
"편평세포 암-코,부비동(Squamous cell carcinoma, nasal and paranasal sinuses)"," | 각막혈관신생 , 판누스 | 구강 , 혀의 종창 , 종괴 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막출혈 | 망막혈관 크기 이상 | 머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 , 부전마비 , 마비 | 무기력 , 침울 , 졸림 , 생기없음 | 배뇨곤란 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안구진탕 , 안구불수의적운동 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 앞발 , 발가락 종창 , 종괴 | 연하곤란 , 연하장애 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 이동거부 | 전신파행 , 경직 , 절름발이 | 체중감소 | 탈모 , 무모증 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 통증 | 피부색소침착감소 , 백반증 , 백피증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 항문직장부위 종창 , 종괴 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 "
"편평세포 암 -편도(Squamous cell carcinoma, tonsil)"," | 각막혈관신생 , 판누스 | 구강 , 혀의 종창 , 종괴 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막출혈 | 망막혈관 크기 이상 | 머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 , 부전마비 , 마비 | 무기력 , 침울 , 졸림 , 생기없음 | 배뇨곤란 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안구진탕 , 안구불수의적운동 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 앞발 , 발가락 종창 , 종괴 | 연하곤란 , 연하장애 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 이동거부 | 전신파행 , 경직 , 절름발이 | 체중감소 | 탈모 , 무모증 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 통증 | 피부색소침착감소 , 백반증 , 백피증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 항문직장부위 종창 , 종괴 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 "
"편평세포암 -귀(Squamous cell carcinoma, ear)"," | 각막혈관신생 , 판누스 | 구강 , 혀의 종창 , 종괴 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 종창 , 종괴(관절부/비관절부 포함) | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 통증 | 뒷발 , 발가락 종창 , 종괴 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 망막 박리 | 망막출혈 | 망막혈관 크기 이상 | 머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 , 부전마비 , 마비 | 무기력 , 침울 , 졸림 , 생기없음 | 배뇨곤란 | 비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 빛에 대한 동공의 비정상 반응 | 산동 , 확장된 동공 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 실명 , 시력상실 | 안구진탕 , 안구불수의적운동 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 앞발 통증 | 앞발 , 발가락 종창 , 종괴 | 연하곤란 , 연하장애 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 유두부종 , 시신경 크기 증가 | 이동거부 | 전신파행 , 경직 , 절름발이 | 체중감소 | 탈모 , 무모증 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 통증 | 피부색소침착감소 , 백반증 , 백피증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 | 항문직장부위 종창 , 종괴 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 "
